ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2023-02-12,8372.82593407836,7107.117257498515,8535.066542961935,8372.82593407836,8372.82593407836,-543.5185497421288,-543.5185497421288,-543.5185497421288,108.83944472760433,108.83944472760433,108.83944472760433,-652.3579944697334,-652.3579944697334,-652.3579944697334,0.0,0.0,0.0,7829.307384336232
2023-02-13,8371.055654733147,7171.381813858336,8450.669347015066,8371.055654733147,8371.055654733147,-516.7163052438542,-516.7163052438542,-516.7163052438542,135.66463114560605,135.66463114560605,135.66463114560605,-652.3809363894603,-652.3809363894603,-652.3809363894603,0.0,0.0,0.0,7854.3393494892925
2023-02-14,8369.285375387934,7211.197751589099,8591.74587498565,8369.285375387934,8369.285375387934,-452.25691687561243,-452.25691687561243,-452.25691687561243,201.03915771816938,201.03915771816938,201.03915771816938,-653.2960745937818,-653.2960745937818,-653.2960745937818,0.0,0.0,0.0,7917.028458512321
2023-02-15,8367.51509604272,7225.978629615074,8596.156224197466,8367.51509604272,8367.51509604272,-421.50346300906847,-421.50346300906847,-421.50346300906847,233.47138643845733,233.47138643845733,233.47138643845733,-654.9748494475258,-654.9748494475258,-654.9748494475258,0.0,0.0,0.0,7946.011633033651
2023-02-16,8365.744816697505,7204.330577632987,8673.043693375605,8365.744816697505,8365.744816697505,-438.4854635282277,-438.4854635282277,-438.4854635282277,218.76751542515473,218.76751542515473,218.76751542515473,-657.2529789533824,-657.2529789533824,-657.2529789533824,0.0,0.0,0.0,7927.259353169276
2023-02-20,8358.663699316648,7131.988228556723,8510.450472723875,8358.663699316648,8358.663699316648,-532.6298601834388,-532.6298601834388,-532.6298601834388,135.66463114595993,135.66463114595993,135.66463114595993,-668.2944913293987,-668.2944913293987,-668.2944913293987,0.0,0.0,0.0,7826.03383913321
2023-02-21,8356.893419971435,7218.214127841917,8595.658214142051,8356.893419971435,8356.893419971435,-469.4078777776099,-469.4078777776099,-469.4078777776099,201.03915771944602,201.03915771944602,201.03915771944602,-670.4470354970559,-670.4470354970559,-670.4470354970559,0.0,0.0,0.0,7887.485542193825
2023-02-22,8355.123140626221,7181.293798743845,8568.183653903985,8355.123140626221,8355.123140626221,-438.4662701788562,-438.4662701788562,-438.4662701788562,233.47138643720882,233.47138643720882,233.47138643720882,-671.937656616065,-671.937656616065,-671.937656616065,0.0,0.0,0.0,7916.656870447365
2023-02-23,8353.352861281006,7218.091075009696,8566.458988479862,8353.352861281006,8353.352861281006,-453.81950244531436,-453.81950244531436,-453.81950244531436,218.76751542534245,218.76751542534245,218.76751542534245,-672.5870178706568,-672.5870178706568,-672.5870178706568,0.0,0.0,0.0,7899.533358835692
2023-02-26,8348.042021504401,7095.803512259838,8448.664359090788,8348.042021504401,8348.042021504401,-559.2999033214277,-559.2999033214277,-559.2999033214277,108.8394447283779,108.8394447283779,108.8394447283779,-668.1393480498057,-668.1393480498057,-668.1393480498057,0.0,0.0,0.0,7788.742118182974
